Designator,Footprint,Quantity,Value,LCSC Part #
J1,JST_XH_B6B-XH-A_1x06_P2.50mm_Vertical,1,Conn_01x06,
"RV1, RV2",Potentiometer_Alps_RK097_Dual_Horizontal,2,R_Potentiometer_Dual,
